ImageName,x,y
1.png,-5.482870307256725,-6.23703167347972
2.png,-32.26998265311144,11.039014658831135
3.png,-5.555884945317366,-36.37765130252177
4.png,7.33648068250676,12.251143591125732
5.png,-25.558958574313053,-31.55232731345202
6.png,-14.691384576473624,-40.32439908717268
7.png,-28.345763023974623,-19.843631487170942
8.png,22.692133562516105,-47.01894381672588
9.png,22.99013164564188,-45.00879898331459
10.png,-17.78306127741626,33.60330456157628
11.png,-12.051221848085433,0.8067544920288796
12.png,27.360036908320623,-36.92819643119574
13.png,40.934019144689046,-10.2308397199931
14.png,-41.623816555170066,20.81731889104998
15.png,-11.641303589968985,32.92694190901129
16.png,13.254481214679238,35.39380308400379
17.png,22.57043237932234,37.99809963774857
18.png,47.4573516448164,9.449005884295012
19.png,-47.48332430348621,-38.77726017492631
20.png,-20.779193311443333,29.311495361817748
21.png,4.933034933943226,25.959519505312528
22.png,44.01341039848424,38.04155452484541
23.png,24.551150694237776,10.1395849811721
24.png,-8.136133845370786,-43.863959454534275
25.png,11.76394798454038,14.599182014633854
26.png,-39.90298162943373,45.688573360343995
27.png,-36.163280716083804,21.045649311517167
28.png,-16.4563827361063,-14.121217156891639
29.png,28.694203289691885,-31.993540417316602
30.png,-42.426985250556235,-29.103980994604505
31.png,28.739817409204562,-43.204932349658044
32.png,21.60139121159122,24.09537333703007
33.png,44.314969550606904,-40.37224660821003
34.png,-28.14035251123167,-44.98448105020911
35.png,49.44670222750412,-44.75938981919171
36.png,6.148357282358127,-33.09725458991467
37.png,33.39422991567571,-34.61486101599728
38.png,26.169584897817217,12.734456627567859
39.png,37.23592035514238,23.51372290533253
40.png,33.21594286774949,39.4054210315998
41.png,-17.793908889704845,-28.413305271339283
42.png,40.303124061113905,-43.49988698285952
43.png,-6.205792471283459,18.15734884461463
44.png,38.01035552544512,-37.773624392976025
45.png,-13.505908893327302,13.58293425990388
46.png,5.522622519195352,-24.882576379762767
47.png,-36.7775292423149,22.11399667900156
48.png,-6.139353576091601,-48.02164862890379
49.png,-34.86272391239933,-30.180836194767537
50.png,45.496407553611235,28.24330234693869
51.png,-18.768963248283054,3.693576687234547
52.png,13.898864823505164,-19.477632903544105
53.png,-32.55914302378194,41.93929283700906
54.png,-12.587048325296337,-42.88012070123357
55.png,2.467346672491388,-41.74660521030518
